SLOT,"PLAYER, TEAM POS",,GAMES: OPPONENTS,,GP,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3PM,REB,AST,STL,BLK,PTS,,PR15,%OWN,+/-
PG,"Isaiah Thomas, Bos PG",,"4: @Mem, @Ind, OKC, @NY",,10,33.1,8.5/19.9,0.427,5.9/6.5,0.908,2.5,2.2,5.4,0.8,0.1,25.4,,-0.24,99.5,0.1
SG,"Eric Gordon, Hou SG",,"3: SA, @Pho, @Mem",,15,29.6,6.3/13.5,0.465,1.6/2.1,0.774,4.3,2,2.9,0.7,0.5,18.4,,10.57,73.2,2.8
SF,"Jimmy Butler, Chi SG, SF",,"4: Det, Wsh, @Cha, @SA",,14,37.2,7.9/17.1,0.46,8.6/9.6,0.889,0.8,6.4,4.6,1.7,0.6,25.1,,11.86,99.9,0
PF,"Kristaps Porzingis, NY PF, C",,"3: Ind, Orl, Bos",,15,36.3,7.3/17.3,0.423,3.3/4.3,0.781,2,8.3,1.4,0.6,2.3,20,,6,99.6,0
C,"Derrick Favors, Uta PF, C",,"3: @GS, Sac, Tor",,3,13.7,1.7/3.3,0.5,2.0/2.7,0.75,0,2.3,0,0.3,2,5.3,,-3.15,76.1,6.9
G,"Patrick Beverley, Hou PG",,"3: SA, @Pho, @Mem",,15,31.1,3.1/7.4,0.414,0.5/0.8,0.667,1.6,6.5,4.8,1.4,0.3,8.3,,7.3,38.9,16.2
F,"Gordon Hayward, Uta SG, SF",,"3: @GS, Sac, Tor",,13,35,7.6/16.1,0.474,7.1/8.3,0.852,2.2,5.5,3.8,1.3,0.5,24.5,,6.02,97.4,0.2
UTIL,"Paul Millsap, Atl PF",,"3: @OKC, Min, @Den",,13,33.5,6.6/13.4,0.494,3.2/4.1,0.774,1.3,8.3,3.5,1.7,1.3,17.7,,11.9,99.2,0.2
UTIL,"Taj Gibson, Chi PF, C",,"4: Det, Wsh, @Cha, @SA",,14,27.7,5.7/9.7,0.588,1.5/2.3,0.656,0,6.6,1.6,0.5,1,12.9,,3.05,61.6,-3.1
UTIL,"Garrett Temple, Sac SG",,"3: Por, @Uta, @Min",,14,27.1,2.8/6.7,0.415,1.3/1.4,0.9,1.6,2.7,2.3,1.5,0.6,8.5,,5.36,5.1,4.8
